연번,건물명,동명,소재지 ,연면적(제곱미터),석면(자재)면적(제곱미터)
1,강호 우성쇼핑,강호 우성쇼핑,전라북도 고창군 고창읍 중앙로 232,5122.71,1094.19
2,고창부안축협,축사(주7동),전라북도 고창군 흥덕면 부안로 423,1197,1342.41
3,농어촌폐기물종합처리장,관리동,전라북도 고창군 아산면 인천강변로 201-95,1671.72,210.01
4,문수산 터널관리동,문수산 터널관리동,전라북도 고창군 고수면 가협길 26-66,919.03,925.29
5,한국전력공사 고창지사 본관,본관,전라북도 고창군 고창읍 중거리당산로 46,2541.05,1033.06
6,메디케어요양병원,메디케어요양병원,전라북도 고창군 성내면 이재로 81-9,2344.94,829.5
7,흥덕농협 본점,본점,전라북도 고창군 흥덕면 흥덕초등길 3,753.91,337.31
8,흥덕농협 성내지점,본관,전라북도 고창군 성내면 시기1길 57,934.93,248.6
9,해리복지회관,해리복지회관,전라북도 고창군 해리면 해리중앙로 130,570,280.5
10,고창부안축협,본관,전라북도 고창군 고창읍 중앙로 214,2292.4,774.41
11,고창처리장,탈수기동(주3동),전라북도 고창군 고창읍 태봉로 459-20,1145.8,68.51
12,고창처리장,관리본동(주5동),전라북도 고창군 고창읍 태봉로 459-20,660,208.04
13,고창처리장,용수공급동(주7동),전라북도 고창군 고창읍 태봉로 459-20,507.8,81
14,선운산농협 창고,본관,전라북도 고창군 공음면 공음길 55,835,422.24
15,선운산농협 창고,갑평길 창고1,전라북도 고창군 아산면 갑평1길 7,1529.54,486.91
16,선운산농협 창고,공음면 창고,전라북도 고창군 공음면 공음길 61-7,660,474.24
17,선운산농협 아산지점,본관,전라북도 고창군 아산면 녹두로 793,691.31,460.2
18,농업기술센터,본관,전라북도 고창군 고창읍 중거리당산로 94,3213.99,1276.06
19,고창군청,본관,전라북도 고창군 고창읍 중앙로 245,7660.34,800.58
20,동학홍보관,본관,전라북도 고창군 공음면 왕제산로 502,1047.51,454.95
21,체류형농업창업지원센터(구 복분자연구소),체류형농업창업지원센터,전라북도 고창군 부안면 복분자로 568,1733.43,881.58
22,고창군청 제2청사,제2청사,전라북도 고창군 고창읍 중거리당산로 74-12,1682.87,1277.33
23,추모의집,추모의집,전라북도 고창군 부안면 복분자로 559,985.56,824.94
24,고인돌휴게소 하행,고인돌휴게소 하행,전라북도 고창군 신림면 서해안고속도로 81,3552,295.93
25,고창군산림조합 연수원,본관,전라북도 고창군 흥덕면 부안로 446-21,2348.22,2074.96
26,고창효자노인병원,고창효자노인병원,전라북도 고창군 무장면 감덕길 19,776.48,707.21
27,수산기술연구소,본관,전라북도 고창군 해리면 명사십리로 817,7649.31,1110.19
